customer_id,name,age,gender,owns_car,owns_house,no_of_children,net_yearly_income,no_of_days_employed,occupation_type,total_family_members,migrant_worker,yearly_debt_payments,credit_limit,credit_limit_used(%),credit_score,prev_defaults,default_in_last_6months,credit_card_default
CST_143579,Douwe,27,F,N,Y,0.0,154638.7,10188.0,Core staff,2.0,0.0,52954.56,20249.08,50,943.0,0,0,0
CST_115589,Nishant Kumar,23,F,Y,Y,0.0,229423.56,3978.0,Laborers,2.0,0.0,36998.7,25435.02,28,795.0,0,0,0
CST_149142,"ODonnell""",26,M,Y,N,0.0,172067.42,365251.0,Unknown,2.0,0.0,24199.23,22155.88,49,886.0,0,0,0
CST_159518,Temple-West,27,F,N,Y,0.0,133374.38,1142.0,Sales staff,2.0,1.0,29558.32,16962.2,98,832.0,0,0,0
CST_132881,John,23,F,N,N,1.0,99199.53,387.0,Unknown,3.0,0.0,16130.89,17474.98,36,823.0,0,0,0
CST_119708,Anna Driver,32,M,Y,N,0.0,206413.69,365247.0,Unknown,2.0,0.0,22419.59,74423.73,72,766.0,0,0,0
CST_106117,Alastair Sharp,32,M,Y,N,0.0,152418.94,1851.0,Unknown,2.0,0.0,37194.56,17749.23,99,904.0,0,0,0
CST_143621,Diane,30,F,N,Y,0.0,224495.72,564.0,Sales staff,2.0,0.0,23289.01,70967.55,23,919.0,0,0,0
CST_124692,Langi Chiang,35,F,N,Y,1.0,156486.8,976.0,Core staff,3.0,0.0,67136.81,27020.25,3,922.0,0,0,0
CST_103397,Martinne Geller,46,F,Y,Y,0.0,71277.0,125.0,Sales staff,2.0,1.0,25201.22,13851.29,63,673.0,0,0,0
CST_157798,Lange,48,M,Y,Y,0.0,359555.12,1289.0,Unknown,2.0,0.0,41878.34,83571.96,8,738.0,0,0,0
CST_160156,Stempel,48,F,N,Y,0.0,128362.79,3537.0,Core staff,2.0,0.0,15151.82,46066.92,30,684.0,0,0,0
CST_137097,Deepa,53,F,N,N,0.0,112168.78,2136.0,Cleaning staff,2.0,0.0,38577.08,23394.54,77,851.0,0,0,0
CST_156606,Taylor,47,F,,Y,0.0,229370.35,352.0,Sales staff,2.0,0.0,35347.36,27213.73,87,733.0,0,0,0
CST_116941,Edmund Blair,32,M,N,Y,1.0,200755.45,1847.0,Laborers,3.0,1.0,25418.57,43699.79,10,695.0,0,0,0
CST_165874,Cremer,28,F,N,N,0.0,128100.65,2908.0,Unknown,2.0,0.0,20549.92,25796.37,61,902.0,0,0,0
CST_141209,Harry,43,F,Y,Y,1.0,223787.52,2499.0,Drivers,2.0,1.0,18806.78,86882.47,10,724.0,0,0,0
CST_116401,Deepti Govind,37,F,N,N,0.0,92260.01,4976.0,HR staff,2.0,0.0,27946.64,26257.53,32,931.0,0,0,0
CST_105775,Diane Bartz,50,F,Y,Y,0.0,173396.95,365241.0,Unknown,1.0,0.0,10764.89,28296.94,3,811.0,0,0,0
CST_141275,Himank,26,F,Y,Y,0.0,206735.72,8039.0,Managers,2.0,0.0,90738.98,43999.15,55,848.0,0,0,0
CST_159503,Skariachan,33,M,Y,Y,0.0,316368.24,1377.0,Laborers,1.0,1.0,61446.88,78388.44,8,737.0,0,0,0
CST_165701,da,48,F,N,N,0.0,145514.36,365240.0,Unknown,1.0,0.0,27222.39,39851.78,22,717.0,0,0,0
CST_130624,Anirban,24,M,N,N,0.0,49095.08,365247.0,Unknown,2.0,0.0,13738.47,11766.32,90,891.0,0,0,0
CST_159841,"""Silvia",28,F,N,N,0.0,105269.88,365249.0,Unknown,2.0,0.0,30128.22,12997.07,91,814.0,0,0,0
CST_123543,Regan Doherty,29,F,N,Y,1.0,255762.9,235.0,Sales staff,3.0,0.0,47944.33,29842.03,28,723.0,0,0,0
CST_130816,Suzanne,49,F,Y,N,2.0,91788.31,360.0,Security staff,4.0,1.0,24679.42,20759.68,71,800.0,0,0,0
CST_162883,Toonkel,50,F,N,Y,0.0,112940.36,200.0,Sales staff,2.0,0.0,9985.33,19156.26,5,715.0,0,0,0
CST_157640,Sheahan,24,M,N,Y,1.0,165911.88,344.0,Laborers,3.0,0.0,67942.46,18209.26,18,692.0,0,0,0
CST_127366,Roantree,51,F,N,Y,0.0,151825.02,365244.0,Unknown,2.0,0.0,40195.46,42491.2,83,947.0,0,0,0
CST_120451,David Lawder,32,F,N,Y,1.0,152876.72,1256.0,Laborers,2.0,0.0,7385.37,26919.74,76,912.0,0,0,0
CST_152237,Hirschler,50,F,N,N,1.0,258020.7,1174.0,Unknown,3.0,0.0,14113.27,53342.4,50,735.0,0,0,0
CST_158979,Carew,42,F,N,Y,0.0,118593.55,365242.0,Unknown,1.0,0.0,24370.78,22676.87,84,782.0,0,0,0
CST_155270,Cole,41,F,N,Y,0.0,108455.69,340.0,Core staff,2.0,0.0,27507.9,26574.22,88,843.0,0,0,0
CST_124541,Padraic Halpin,52,F,N,Y,1.0,82722.0,1202.0,Managers,3.0,0.0,13003.15,12546.68,47,900.0,0,0,0
CST_109758,Nicole Mordant,48,F,Y,Y,1.0,144940.24,1469.0,Sales staff,3.0,0.0,16658.7,18934.01,94,532.0,0,1,1
CST_152434,Malone,41,F,N,N,1.0,114171.99,1213.0,Core staff,3.0,0.0,17947.87,12251.0,29,883.0,0,0,0
CST_102676,JoAnne Allen,52,F,N,Y,0.0,408999.16,365246.0,Unknown,2.0,0.0,62880.41,86611.59,20,713.0,0,0,0
CST_107947,Paul Day,37,F,N,N,0.0,78602.75,1408.0,Sales staff,2.0,0.0,11220.86,15133.0,30,679.0,0,0,0
CST_108356,Nicola Leske,46,F,N,Y,1.0,321454.51,2244.0,Sales staff,3.0,0.0,60176.95,49448.67,41,934.0,0,0,0
CST_138895,Liana,55,F,Y,Y,0.0,163524.14,183.0,Accountants,2.0,0.0,26403.62,41383.76,36,797.0,0,0,0
CST_126404,Johnson,51,F,N,Y,1.0,76823.85,7748.0,Core staff,2.0,0.0,10287.24,10754.41,74,730.0,0,0,0
CST_142693,Deepa,54,F,N,Y,2.0,175429.86,965.0,Sales staff,4.0,0.0,15270.87,38706.09,43,902.0,0,0,0
CST_127018,autos correspondent,50,F,Y,N,0.0,286723.85,2285.0,Sales staff,1.0,0.0,31870.3,56503.85,95,863.0,0,0,0
CST_117646,Alison Griswold,38,F,N,N,0.0,88538.03,2227.0,Sales staff,1.0,0.0,19491.29,29402.31,37,782.0,0,0,0
CST_129351,Roberta,50,F,N,N,0.0,339929.07,4118.0,Core staff,1.0,0.0,59184.95,95060.2,83,949.0,0,0,0
CST_164805,Ellsworth,37,F,N,N,0.0,73319.96,3412.0,Sales staff,2.0,1.0,12331.41,9334.66,88,702.0,0,0,0
CST_121620,Alex,41,M,Y,Y,0.0,253953.36,1487.0,Unknown,2.0,0.0,14662.91,90817.19,88,867.0,0,0,0
CST_139514,Liana,25,F,N,N,0.0,134477.61,7880.0,Sales staff,2.0,0.0,25452.79,22383.77,83,688.0,0,0,1
CST_136990,Kate,54,F,N,Y,0.0,142112.0,3290.0,Unknown,1.0,0.0,13172.01,37096.88,36,774.0,0,0,0
CST_122634,Lynch Svea,38,M,N,Y,0.0,162592.9,9616.0,Unknown,1.0,0.0,35422.27,31028.79,20,923.0,0,0,0
CST_126809,Soyoung Kim,27,F,Y,Y,1.0,196223.74,1277.0,Unknown,3.0,1.0,65946.39,35306.2,56,676.0,0,0,0
CST_137891,Debra,31,F,N,Y,0.0,164809.42,365245.0,Unknown,2.0,0.0,27630.55,31752.06,92,876.0,0,0,0
CST_117541,Patrick Temple-West,29,M,Y,N,0.0,211530.58,2478.0,Unknown,1.0,0.0,15401.43,57697.81,13,703.0,0,0,0
CST_138017,Marja,50,M,Y,Y,1.0,207621.25,1433.0,Drivers,3.0,1.0,50351.63,50266.0,79,667.0,0,0,1
CST_129960,Lisa,52,M,Y,Y,0.0,114109.36,1446.0,Security staff,2.0,0.0,19207.54,24127.51,81,620.0,1,1,1
CST_122890,Olivia Oran,53,F,Y,Y,0.0,110227.77,10079.0,Laborers,2.0,0.0,17560.34,26221.47,16,937.0,0,0,0
CST_117777,Wayne Cole,47,F,N,Y,0.0,202089.68,6124.0,Managers,1.0,0.0,25022.9,33421.81,37,926.0,0,0,0
CST_120670,Lionel Laurent,34,M,Y,Y,2.0,390264.82,307.0,Managers,4.0,0.0,48480.85,99876.33,9,650.0,0,0,0
CST_129421,Chuck,28,M,Y,Y,0.0,171999.73,365243.0,Unknown,2.0,0.0,25204.95,27682.94,43,835.0,0,0,0
CST_108840,Fergus Jensen,43,F,N,Y,0.0,105641.18,365249.0,Unknown,2.0,0.0,30269.35,28311.61,78,608.0,1,1,1
CST_143922,Kirsti,52,M,Y,N,0.0,348781.48,1808.0,Managers,2.0,1.0,75598.54,46802.64,15,736.0,0,0,0
CST_145999,Thomas,55,F,N,N,0.0,223956.76,578.0,Sales staff,1.0,0.0,50733.79,31737.49,39,655.0,0,0,0
CST_131351,Doug,24,M,Y,Y,1.0,345800.3,277.0,Laborers,3.0,0.0,39719.26,118352.08,62,808.0,0,0,0
CST_101410,Paul Taylor,29,F,N,Y,1.0,154039.49,3349.0,Sales staff,3.0,0.0,21305.91,22388.48,35,905.0,0,0,0
CST_129479,Nick,40,M,Y,N,0.0,407205.73,1254.0,Laborers,2.0,0.0,36882.04,92722.57,67,737.0,0,0,0
CST_119917,Ana Nicolaci,31,F,N,Y,2.0,109369.23,936.0,Sales staff,4.0,0.0,46927.79,16872.22,56,948.0,0,0,0
CST_163066,Toonkel,49,F,Y,Y,0.0,180777.71,206.0,Sales staff,1.0,0.0,27034.34,63189.04,3,943.0,0,0,0
CST_123421,Martinez,36,M,N,Y,0.0,230984.04,588.0,Laborers,2.0,0.0,35554.31,28702.61,88,658.0,0,0,1
CST_100562,Douglas Busvine,28,M,N,Y,1.0,437661.11,4331.0,Managers,3.0,0.0,36729.28,67140.92,17,948.0,0,0,0
CST_156615,Moon,23,M,N,N,0.0,164534.02,2201.0,Unknown,2.0,0.0,44952.01,31158.79,60,731.0,0,0,0
CST_113590,Casey Sullivan,53,F,N,N,0.0,94126.29,644.0,Sales staff,2.0,0.0,7713.83,19923.75,66,825.0,0,0,0
CST_129315,Maria,28,F,N,Y,1.0,371589.07,1417.0,Unknown,3.0,1.0,29192.0,38519.24,48,863.0,0,0,0
CST_111640,Oliver Hirt,44,M,N,Y,1.0,279909.11,1673.0,Laborers,3.0,0.0,17944.52,65039.13,83,677.0,0,0,1
CST_139237,Suzanne,37,F,N,N,0.0,129633.23,164.0,Cleaning staff,2.0,0.0,29892.75,36552.07,71,681.0,0,0,0
CST_110331,Kaori Kaneko,24,F,N,Y,0.0,239984.82,4676.0,Cleaning staff,2.0,0.0,51397.62,61399.84,44,835.0,0,0,0
CST_106820,Huw Jones,38,F,N,Y,0.0,390857.62,3275.0,Accountants,1.0,0.0,61521.59,139257.29,39,682.0,0,0,0
CST_134337,Lesley,44,F,N,N,0.0,209540.97,365241.0,Unknown,2.0,0.0,50892.56,48817.96,40,946.0,0,0,0
CST_103116,Tom Polansek,37,F,N,Y,1.0,56846.97,4347.0,High skill tech staff,3.0,0.0,23478.15,17986.15,83,672.0,0,0,0
CST_129445,Jan,42,F,Y,N,0.0,221996.71,3563.0,Sales staff,2.0,0.0,32382.24,34271.9,91,864.0,0,0,0
CST_142320,Dan,48,F,N,Y,1.0,198738.29,1053.0,Sales staff,3.0,0.0,32031.88,53647.28,56,833.0,0,0,0
CST_138215,Jonathan,29,M,Y,Y,1.0,187629.14,2501.0,Unknown,3.0,1.0,20188.13,35985.53,76,815.0,0,0,0
CST_101729,Patrick Vignal,27,F,N,N,0.0,141003.66,2371.0,Cooking staff,2.0,1.0,15781.05,33616.31,28,682.0,0,0,0
CST_124665,David Henry,32,F,N,Y,0.0,244040.28,2181.0,Accountants,1.0,0.0,45178.83,51659.46,22,828.0,0,0,0
CST_164335,Bernabei,46,F,N,N,0.0,58259.98,365241.0,Unknown,2.0,0.0,22021.66,9241.37,88,700.0,0,0,0
CST_153814,Edwin,35,F,N,Y,1.0,251869.08,9272.0,Laborers,3.0,0.0,30723.52,60535.75,57,894.0,0,0,0
CST_135400,asil,36,F,N,N,0.0,86370.78,365242.0,Unknown,1.0,0.0,21468.73,22213.54,25,949.0,0,0,0
CST_127283,Karen Jacobs,27,F,Y,Y,2.0,503963.65,817.0,Managers,4.0,0.0,61652.83,59889.36,27,698.0,0,0,0
CST_143524,Herbert,51,F,N,Y,0.0,128675.13,2855.0,Unknown,2.0,,12097.89,25834.2,76,890.0,0,0,0
CST_136757,Ross,43,F,Y,N,1.0,264412.73,1083.0,Accountants,3.0,0.0,37377.4,35845.63,98,922.0,0,0,0
CST_113138,Dan Wilchins,52,M,N,N,0.0,318972.46,3448.0,Laborers,1.0,1.0,38734.66,103573.43,53,793.0,0,0,0
CST_161453,Skariachan,30,F,N,N,0.0,387825.58,645.0,Managers,2.0,1.0,25772.21,83643.08,30,689.0,0,0,0
CST_107490,Sarah N.,25,M,Y,Y,1.0,200451.72,306.0,Drivers,3.0,1.0,10658.24,74611.24,45,660.0,0,0,0
CST_110661,Caroline Valetkevitch,45,M,,Y,0.0,213866.59,2272.0,Core staff,2.0,0.0,22836.78,71050.18,21,802.0,0,0,0
CST_152059,Frankel,30,F,N,Y,0.0,177994.13,365246.0,Unknown,2.0,0.0,9960.81,23810.5,24,810.0,0,0,0
CST_121454,Sergio Goncalves,33,F,Y,Y,0.0,130982.81,232.0,Unknown,2.0,0.0,8209.99,28732.0,65,853.0,0,0,0
CST_116087,Peter Rudegeair,36,F,N,N,0.0,92887.67,897.0,Sales staff,2.0,0.0,30234.98,32974.29,45,789.0,0,0,0
CST_119257,Dominic Lau,48,F,N,Y,0.0,205314.31,476.0,Unknown,2.0,0.0,31057.11,28471.11,84,777.0,0,0,0
CST_151496,N.,49,F,Y,Y,0.0,158996.05,365248.0,Unknown,1.0,0.0,30073.84,40068.4,97,752.0,0,0,0
CST_164674,Woodall,32,F,N,Y,0.0,237567.94,365250.0,Unknown,2.0,0.0,20717.87,26908.3,8,655.0,0,0,0
CST_120685,Dan Levine,34,F,Y,Y,0.0,329545.33,1183.0,Sales staff,2.0,0.0,48640.53,78630.06,92,870.0,0,0,0
CST_154700,Geller,54,M,Y,Y,0.0,239796.98,365247.0,Unknown,2.0,0.0,16681.17,35005.38,26,761.0,0,0,0
CST_112923,ewich Leila,48,F,N,N,0.0,166643.05,3326.0,Sales staff,2.0,0.0,47903.65,36668.6,76,895.0,0,0,0
CST_126426,Joyce Lee,52,M,Y,Y,2.0,85095.81,2658.0,Laborers,4.0,0.0,32824.91,29811.27,17,701.0,0,0,0
CST_116301,ernard Vaughan,50,F,N,Y,2.0,138276.92,3741.0,Unknown,3.0,0.0,9628.87,22624.97,90,658.0,0,0,0
CST_105082,Jason Lange,34,F,Y,Y,0.0,110729.83,365244.0,Unknown,2.0,0.0,23382.55,14686.0,4,684.0,0,0,0
CST_105783,Tim Ghianni,24,F,Y,Y,0.0,314645.31,365252.0,Unknown,2.0,0.0,40327.61,95501.73,28,719.0,0,0,0
CST_140345,Steven,27,M,Y,N,1.0,401399.99,263.0,Drivers,2.0,0.0,48669.91,75138.67,78,628.0,1,1,1
CST_140860,Christiaan,52,F,N,Y,0.0,167740.59,1732.0,Laborers,1.0,0.0,59545.0,24317.6,98,692.0,0,0,0
CST_134220,Madeline,52,F,N,Y,0.0,74746.6,365243.0,Unknown,1.0,0.0,10412.52,16930.99,36,785.0,0,0,0
CST_137981,Patrick,54,F,N,Y,0.0,214520.58,10982.0,Unknown,2.0,0.0,10339.24,40735.06,63,750.0,0,0,0
CST_152058,Seetharaman,29,F,N,N,0.0,59490.61,365247.0,Unknown,1.0,0.0,4912.31,12838.98,35,934.0,0,0,0
CST_158231,Bull,29,M,Y,Y,1.0,410833.57,643.0,Managers,3.0,1.0,69499.16,153615.79,78,525.0,1,1,1
CST_104011,Paul Thomasch,53,M,Y,Y,0.0,149876.68,83.0,Laborers,2.0,0.0,26227.17,25716.1,49,795.0,0,0,0
CST_162057,Driver,49,F,N,Y,0.0,76876.83,1732.0,Cleaning staff,2.0,0.0,11572.75,17736.51,54,717.0,0,0,0
CST_108444,Cyntia Barrera,49,F,N,Y,2.0,68826.04,234.0,Unknown,4.0,1.0,38007.71,18176.49,53,872.0,0,0,0
CST_158520,Malone,49,M,N,Y,0.0,279208.96,365251.0,Unknown,2.0,0.0,42173.87,30476.24,24,682.0,0,0,0
CST_134404,Sinead,51,F,N,Y,0.0,218888.35,365249.0,Unknown,1.0,0.0,39311.88,73544.02,85,640.0,1,1,1
CST_152933,Mutikani,33,F,N,Y,0.0,81098.82,365245.0,Unknown,1.0,0.0,14605.52,12021.58,67,856.0,0,0,0
CST_104340,Lauren Tara,48,M,N,N,0.0,520333.86,290.0,High skill tech staff,1.0,0.0,23692.93,119989.76,83,888.0,0,0,0
CST_115880,Jennifer Clark,53,F,N,N,0.0,233353.92,4611.0,Unknown,2.0,0.0,30373.74,24011.36,36,867.0,0,0,0
CST_136983,Andrea,33,M,Y,N,2.0,183453.55,1523.0,Drivers,4.0,0.0,55835.07,21582.28,12,802.0,0,0,0
CST_129128,David,37,F,N,Y,3.0,275375.99,1811.0,Cooking staff,5.0,1.0,32217.82,54670.47,29,853.0,0,0,0
CST_132836,Herbert,37,F,N,N,1.0,116642.52,4607.0,Medicine staff,2.0,0.0,28640.33,20331.13,48,735.0,0,0,0
CST_144508,Kevin,43,M,,Y,0.0,610226.68,3251.0,Managers,2.0,0.0,48463.33,148288.36,78,823.0,0,0,0
CST_150690,Devitt,41,F,N,Y,0.0,113362.71,2534.0,High skill tech staff,2.0,0.0,21130.4,15874.56,54,792.0,0,0,0
CST_150038,Mutikani,42,M,N,Y,0.0,251421.72,7251.0,Laborers,2.0,0.0,11083.56,78860.55,10,760.0,0,0,0
CST_140370,Ross,49,M,N,Y,0.0,134671.4,365248.0,Unknown,2.0,0.0,35012.93,46057.94,85,660.0,0,0,0
CST_133878,Emi,40,F,N,Y,0.0,258183.31,365251.0,Unknown,1.0,0.0,26070.45,82103.9,88,865.0,0,0,0
CST_163125,Yun,31,M,N,Y,0.0,144433.04,563.0,Laborers,1.0,1.0,43331.72,33136.51,85,696.0,0,0,0
CST_118950,Caroline Copley,33,F,N,Y,0.0,367378.76,1120.0,Laborers,1.0,1.0,26324.54,47963.32,32,698.0,0,0,0
CST_125831,Andrea Shalal-Esa,49,F,Y,N,0.0,426523.5,2747.0,Unknown,2.0,1.0,53263.51,145764.22,84,702.0,0,0,0
CST_111892,Melanie Lee,55,M,N,Y,0.0,136448.14,4135.0,Unknown,2.0,0.0,13218.36,31009.9,51,824.0,0,0,0
CST_137771,Julien,36,M,Y,N,2.0,240418.47,5249.0,Laborers,4.0,1.0,20875.6,50156.94,79,695.0,0,0,0
CST_147131,Kan,53,F,N,Y,0.0,213321.54,3844.0,Unknown,2.0,0.0,36324.36,48990.8,64,672.0,0,0,0
CST_125454,Chee,44,F,Y,N,1.0,174979.29,713.0,Core staff,2.0,0.0,24970.37,57408.52,48,709.0,0,0,0
CST_147773,Yukhananov,37,F,N,Y,0.0,105276.59,365247.0,Unknown,2.0,0.0,15106.07,19219.15,89,740.0,0,0,0
CST_135074,ill,51,F,N,Y,1.0,161302.72,3780.0,Accountants,2.0,0.0,16016.02,40306.53,0,658.0,0,0,0
CST_129537,Liana,25,F,N,Y,1.0,234818.11,998.0,Unknown,3.0,0.0,61818.64,30184.82,37,668.0,0,0,0
CST_143941,Deepa,39,F,N,N,0.0,254110.24,2454.0,Medicine staff,2.0,0.0,47868.67,63287.31,19,912.0,0,0,0
CST_122783,David Milliken,23,F,Y,N,0.0,165888.58,785.0,Sales staff,2.0,0.0,24304.51,43444.53,1,709.0,0,0,0
CST_148135,Sheahan,51,F,N,Y,0.0,281859.89,2981.0,Unknown,1.0,0.0,26819.1,62257.33,88,846.0,0,0,0
CST_136000,Edwin,39,F,N,Y,0.0,347113.96,2206.0,Sales staff,2.0,0.0,39497.82,55747.43,2,929.0,0,0,0
CST_123514,Matt Scuffham,28,F,N,N,0.0,121280.39,609.0,Core staff,2.0,0.0,13607.82,24920.96,58,785.0,0,0,0
CST_115389,Steve Slater,23,F,Y,Y,0.0,271177.57,365250.0,Unknown,2.0,0.0,26228.11,60463.81,32,737.0,0,0,0
CST_114817,David Ljunggren,45,F,Y,Y,1.0,184536.78,2264.0,Core staff,3.0,0.0,56205.77,39664.2,24,786.0,0,0,0
CST_133371,Nate,55,F,Y,Y,2.0,154071.15,4437.0,Sales staff,4.0,0.0,48151.11,28399.88,15,859.0,0,0,0
CST_151672,Strupczewski,38,F,Y,N,0.0,102575.99,701.0,Managers,2.0,0.0,34843.81,23034.9,61,906.0,0,0,0
CST_118841,Patricia Kranz,38,M,N,Y,0.0,271299.12,465.0,Laborers,2.0,0.0,50096.48,31628.03,34,728.0,0,0,0
CST_112440,Bill Rigby,28,M,N,Y,,212895.36,202.0,Drivers,2.0,0.0,21339.6,40426.83,66,917.0,0,0,0
CST_154988,Jewkes,36,F,N,Y,1.0,92242.35,201.0,Laborers,2.0,0.0,17212.95,25691.45,64,698.0,0,0,0
CST_149280,Kim,33,M,Y,Y,0.0,279238.23,1320.0,Drivers,2.0,0.0,31542.65,66874.57,44,774.0,0,0,0
CST_104279,Jason Lange,24,M,N,Y,2.0,113732.98,196.0,Drivers,4.0,1.0,17582.75,21540.09,90,723.0,0,0,0
CST_153285,White,24,F,N,Y,0.0,86566.02,2261.0,Cleaning staff,1.0,0.0,10537.5,10589.17,85,944.0,0,0,0
CST_114544,Elvina Nawaguna,52,F,N,Y,0.0,201085.32,1207.0,Cooking staff,2.0,0.0,26371.01,71556.15,31,684.0,0,0,0
CST_149673,Papachristou,51,M,Y,Y,0.0,244362.93,2242.0,Laborers,2.0,1.0,23646.27,52961.44,74,674.0,0,0,0
CST_118196,Charlie Zhu,43,F,N,N,0.0,193087.84,365249.0,Unknown,1.0,0.0,15398.67,23313.51,33,915.0,0,0,0
CST_131607,Aruna,25,M,,N,0.0,122705.67,2447.0,Managers,2.0,0.0,34009.63,16517.28,16,665.0,0,0,0
CST_165779,Edwards,26,F,N,Y,0.0,177219.24,365249.0,Unknown,2.0,0.0,19569.17,44121.89,29,840.0,0,0,0
CST_152718,Schwartz,26,F,N,N,2.0,125385.0,2196.0,High skill tech staff,4.0,0.0,12411.31,17725.2,89,512.0,0,1,1
CST_156880,Donovan,23,M,N,Y,0.0,204458.43,4624.0,Laborers,2.0,0.0,32195.81,49264.33,55,857.0,0,0,0
CST_112251,Kevin Drawbaugh,39,M,N,Y,0.0,296154.31,2564.0,Unknown,2.0,1.0,52300.4,107409.16,58,892.0,0,0,0
CST_114891,Katharina Bart,31,F,N,Y,0.0,85806.79,108.0,Core staff,2.0,0.0,10576.53,15754.06,81,546.0,2,1,1
CST_128107,Annika,30,M,Y,N,0.0,245882.08,1602.0,Core staff,2.0,0.0,50328.9,40023.56,6,942.0,0,0,0
CST_107685,Clare Baldwin,45,M,Y,Y,0.0,177032.8,1805.0,Sales staff,1.0,0.0,11976.21,22227.76,56,794.0,0,0,0
CST_117273,Anjuli Davies,27,M,N,Y,2.0,238963.51,148.0,Core staff,4.0,0.0,56777.52,91038.86,4,905.0,0,0,0
CST_163758,Stempel,54,F,Y,Y,2.0,262249.15,4012.0,Laborers,4.0,0.0,60127.2,89939.03,10,898.0,0,0,0
CST_124548,Jim Wolf,35,F,N,N,0.0,347913.23,1516.0,Laborers,2.0,0.0,25258.33,42277.75,93,751.0,0,0,0
CST_111591,Thomas Ferraro,36,F,N,Y,0.0,143532.25,2383.0,Unknown,1.0,0.0,9760.53,20648.6,57,742.0,0,0,0
